#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
33.786	414	33.811	522
33.837	403	33.861	513
33.887	392	33.913	503
33.938	383	33.963	493
33.988	375	34.014	486
34.040	368	34.064	478
34.090	363	34.115	473
34.141	362	34.166	468
34.191	363	34.217	466
34.242	365	34.267	467
34.293	371	34.318	470
34.344	378	34.368	474
34.394	385	34.419	479
34.445	396	34.470	488
34.495	407	34.521	498
34.546	418	34.571	508
34.597	429	34.622	519
34.648	437	34.672	527
34.698	445	34.724	536
34.749	452	34.774	543
34.799	454	34.825	549
34.851	456	34.875	552
34.901	455	34.926	553
34.952	453	34.977	554
35.002	447	35.028	550
35.053	440	35.079	545
35.104	432	35.129	539
35.155	421	35.180	531
35.205	412	35.230	521
35.256	401	35.282	512
35.306	392	35.332	502
35.357	384	35.383	494
35.408	377	35.433	484
35.459	370	35.484	476
35.509	367	35.535	471
35.560	365	35.586	468
35.610	366	35.636	466
35.662	369	35.687	467
35.712	375	35.737	471
35.763	382	35.789	477
35.813	390	35.839	482
35.864	400	35.890	490
35.915	409	35.940	500
35.966	419	35.991	510
36.016	428	36.041	520
36.067	437	36.093	527
36.117	443	36.143	537
36.168	449	36.194	543
36.219	452	36.244	548
36.270	453	36.295	552
36.320	452	36.346	553
36.371	448	36.397	553
36.421	442	36.447	549
36.473	435	36.498	544
36.523	428	36.548	536
36.574	418	36.600	529
36.624	410	36.650	520
36.675	400	36.701	511
36.726	392	36.751	500
36.777	384	36.802	492
36.827	378	36.853	483
36.878	373	36.904	477
36.928	371	36.954	472
36.979	369	37.005	468
37.030	371	37.055	467
37.081	373	37.106	468
37.131	378	37.157	471
37.182	384	37.208	476
37.232	392	37.258	484
37.284	402	37.309	492
37.334	412	37.359	501
37.385	420	37.411	512
37.435	427	37.461	520
37.486	436	37.512	529
37.537	441	37.562	538
37.588	446	37.613	544
37.638	448	37.664	549
37.689	450	37.715	553
37.739	448	37.765	553
37.790	445	37.816	551
37.841	439	37.866	547
37.892	433	37.917	542
37.942	425	37.968	536
37.993	417	38.019	527
38.043	409	38.069	518
38.095	400	38.120	507
38.145	392	38.170	498
38.196	385	38.222	490
38.246	380	38.272	480
38.297	375	38.323	475
38.348	373	38.373	470
38.399	373	38.424	469
38.449	375	38.475	468
38.500	378	38.526	470
38.550	382	38.576	472
38.601	388	38.627	480
38.652	396	38.677	486
38.703	403	38.728	495
38.753	413	38.779	504
38.804	420	38.830	514
38.854	427	38.880	523
38.906	433	38.931	530
38.956	439	38.981	538
39.007	443	39.033	545
39.057	445	39.083	549
39.108	446	39.134	552
39.159	445	39.184	552
39.210	442	39.235	551
39.260	436	39.286	545
39.311	430	39.337	540
39.361	424	39.387	532
39.413	416	39.438	525
39.463	408	39.488	515
39.514	400	39.539	506
39.564	392	39.590	495
39.615	386	39.641	487
39.665	382	39.691	480
39.717	378	39.742	476
39.767	376	39.792	470
39.818	376	39.844	468
39.868	377	39.894	468
39.919	381	39.945	471
39.970	385	39.995	476
40.021	391	40.046	481
40.071	398	40.097	489
40.122	406	40.148	497
40.172	411	40.198	506
40.224	419	40.249	514
40.274	426	40.299	524
40.325	431	40.350	532
40.375	437	40.401	541
40.426	440	40.452	546
40.476	441	40.502	550
40.528	441	40.553	551
40.578	442	40.603	550
40.629	438	40.655	549
40.679	434	40.705	544
40.730	427	40.756	538
40.781	421	40.806	530
