#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.403	332	20.429	586
20.454	325	20.479	591
20.505	325	20.530	591
20.556	327	20.580	586
20.606	334	20.632	578
20.657	343	20.682	567
20.707	357	20.733	555
20.759	373	20.783	541
20.809	393	20.834	524
20.860	412	20.885	509
20.910	430	20.936	492
20.961	447	20.986	478
21.011	461	21.037	465
21.063	472	21.087	456
21.113	479	21.138	449
21.164	483	21.189	448
21.214	481	21.240	450
21.265	477	21.290	455
21.316	466	21.341	464
21.367	455	21.391	476
21.417	440	21.443	490
21.468	422	21.493	506
21.518	403	21.544	524
21.570	386	21.594	538
21.620	370	21.645	554
21.671	353	21.696	568
21.721	342	21.747	578
21.772	332	21.798	584
21.822	327	21.848	588
21.874	324	21.899	587
21.924	328	21.949	584
21.975	336	22.001	575
22.025	346	22.051	564
22.076	360	22.102	552
22.127	378	22.152	537
22.178	396	22.203	520
22.228	414	22.254	506
22.279	432	22.305	489
22.329	448	22.355	475
22.381	461	22.406	464
22.431	472	22.456	455
22.482	479	22.508	451
22.532	480	22.558	450
22.583	480	22.609	453
22.634	476	22.659	459
22.685	465	22.710	469
22.735	452	22.760	481
22.786	436	22.812	495
22.836	419	22.862	511
22.887	403	22.913	527
22.938	384	22.963	542
22.989	367	23.014	558
23.039	353	23.065	570
23.090	341	23.116	577
23.140	332	23.166	582
23.192	327	23.217	585
23.242	328	23.267	585
23.293	331	23.319	579
23.343	338	23.369	570
23.394	348	23.420	560
23.445	363	23.470	547
23.496	381	23.521	532
23.546	398	23.571	517
23.597	415	23.623	502
23.647	434	23.673	488
23.698	450	23.724	476
23.749	463	23.774	466
23.800	472	23.825	458
23.850	479	23.876	454
23.901	481	23.927	454
23.951	479	23.977	457
24.003	473	24.028	463
24.053	462	24.078	473
24.104	450	24.130	484
24.154	436	24.180	499
24.205	416	24.231	514
24.256	399	24.281	528
24.307	382	24.332	544
24.357	365	24.382	556
24.408	352	24.434	568
24.458	340	24.484	578
24.509	332	24.535	582
24.560	328	24.585	583
24.611	329	24.636	581
24.661	333	24.687	575
24.712	341	24.738	567
24.762	351	24.788	556
24.814	365	24.839	543
24.864	382	24.889	528
24.915	400	24.941	514
24.965	418	24.991	499
25.016	435	25.042	485
25.067	450	25.092	475
25.118	462	25.143	465
25.168	472	25.194	457
25.219	477	25.245	455
25.269	479	25.295	455
25.320	477	25.346	460
25.371	470	25.396	466
25.422	461	25.447	477
25.473	448	25.498	489
25.523	430	25.549	503
25.574	414	25.599	519
25.625	398	25.650	532
25.676	381	25.700	547
25.726	364	25.752	559
25.777	351	25.802	569
25.827	341	25.853	575
25.879	333	25.903	578
25.929	330	25.954	582
25.980	330	26.005	577
26.030	334	26.056	571
26.081	344	26.106	563
26.131	354	26.157	552
26.183	368	26.207	539
26.233	385	26.258	524
26.284	403	26.309	510
26.334	421	26.360	497
26.385	437	26.410	484
26.436	451	26.461	474
26.487	464	26.511	464
26.537	471	26.563	461
26.588	476	26.613	457
26.638	477	26.664	459
26.690	474	26.714	463
26.740	466	26.765	471
26.791	456	26.816	481
26.841	444	26.867	494
26.892	430	26.917	507
26.942	413	26.968	523
26.994	396	27.018	536
27.044	379	27.069	548
27.095	364	27.120	561
27.145	351	27.171	570
27.196	341	27.221	575
27.247	334	27.272	579
27.298	332	27.322	578
27.348	332	27.374	574
27.399	337	27.424	568
27.449	347	27.475	559
27.501	359	27.525	548
27.551	372	27.576	535
27.602	389	27.627	520
27.652	404	27.678	507
27.703	422	27.728	494
27.754	437	27.779	482
27.805	451	27.829	472
27.855	463	27.880	464
27.906	470	27.931	461
27.956	475	27.982	459
28.007	475	28.032	461
28.058	471	28.083	467
28.109	465	28.133	474
28.159	454	28.185	485
28.210	443	28.235	497
28.260	426	28.286	511
28.312	409	28.336	525
28.362	394	28.387	539
28.413	378	28.438	551
28.463	364	28.489	562
28.514	351	28.540	569
28.565	342	28.590	574
28.616	336	28.641	578
28.666	333	28.691	576
28.717	336	28.743	574
28.767	342	28.793	566
28.818	350	28.844	557
28.869	362	28.894	545
28.920	375	28.945	532
28.970	391	28.996	517
