#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
19.895	447	19.921	386
19.946	447	19.972	388
19.996	447	20.022	394
20.048	448	20.073	405
20.098	448	20.123	420
20.149	447	20.175	437
20.199	448	20.225	456
20.250	447	20.276	477
20.302	448	20.326	499
20.352	448	20.377	517
20.403	448	20.428	535
20.453	449	20.479	551
20.504	448	20.529	562
20.555	448	20.580	569
20.606	448	20.630	571
20.656	448	20.682	569
20.707	447	20.732	562
20.757	448	20.783	553
20.809	448	20.833	539
20.859	448	20.884	522
20.910	448	20.934	502
20.960	448	20.986	482
21.011	447	21.036	461
21.061	447	21.087	442
21.113	448	21.137	424
21.163	448	21.188	409
21.214	447	21.239	398
21.264	447	21.290	391
21.315	447	21.340	389
21.366	448	21.391	392
21.417	447	21.441	399
21.467	448	21.493	409
21.518	447	21.543	422
21.568	448	21.594	440
21.620	448	21.644	460
21.670	448	21.695	478
21.721	448	21.745	501
21.771	448	21.797	518
21.822	448	21.847	536
21.872	448	21.898	550
21.924	447	21.948	560
21.974	447	21.999	567
22.025	447	22.050	569
22.075	448	22.101	566
22.126	448	22.151	560
22.177	448	22.202	548
22.228	448	22.252	535
22.278	448	22.304	519
22.329	448	22.354	498
22.379	447	22.405	479
22.431	448	22.455	460
22.481	448	22.506	441
22.532	448	22.556	424
22.582	449	22.608	411
22.633	449	22.658	400
22.683	448	22.709	395
22.735	447	22.759	392
22.785	448	22.810	395
22.836	447	22.861	401
22.886	448	22.912	413
22.937	448	22.962	427
22.988	448	23.013	444
23.039	448	23.063	462
23.089	447	23.115	482
23.140	448	23.165	502
23.190	447	23.216	519
23.242	448	23.266	537
23.292	448	23.317	550
23.343	448	23.367	560
23.393	447	23.419	565
23.444	448	23.470	566
23.494	448	23.520	564
23.546	449	23.571	557
23.596	447	23.621	545
23.647	448	23.673	530
23.697	448	23.723	515
23.748	448	23.774	497
23.799	447	23.824	477
23.850	447	23.875	458
23.900	447	23.926	439
23.951	447	23.977	424
24.001	448	24.027	412
24.053	447	24.078	402
24.103	448	24.128	396
24.154	447	24.180	395
24.204	448	24.230	397
24.255	448	24.281	405
24.305	447	24.331	417
24.357	448	24.382	431
24.407	448	24.432	447
