#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
35.915	446	35.941	435
35.966	447	35.991	441
36.017	447	36.042	445
36.068	447	36.092	453
36.118	447	36.144	463
36.169	447	36.194	473
36.219	447	36.245	485
36.271	446	36.295	496
36.321	447	36.346	507
36.372	446	36.396	516
36.422	446	36.448	525
36.473	447	36.498	529
36.523	446	36.549	533
36.575	446	36.599	535
36.625	447	36.650	535
36.676	447	36.701	531
36.726	447	36.752	525
36.777	447	36.802	518
36.828	447	36.853	508
36.879	447	36.903	496
36.929	447	36.955	485
36.980	446	37.005	474
37.030	446	37.056	464
37.082	447	37.106	456
37.132	447	37.157	448
37.183	446	37.207	442
37.233	446	37.259	438
37.284	447	37.309	437
37.334	445	37.360	438
37.386	447	37.410	442
37.436	446	37.461	447
37.487	447	37.512	455
37.537	446	37.563	465
37.588	447	37.613	475
37.639	447	37.664	485
37.690	447	37.714	497
37.740	446	37.766	506
37.791	447	37.816	515
37.841	447	37.867	523
37.893	447	37.917	528
37.943	447	37.968	532
37.994	446	38.018	532
38.044	446	38.070	532
38.095	448	38.120	528
38.145	448	38.171	523
38.197	447	38.221	515
38.247	447	38.272	506
38.298	446	38.323	495
38.348	447	38.374	485
38.399	447	38.424	476
38.450	446	38.475	464
38.501	447	38.525	457
38.551	447	38.577	449
38.602	446	38.627	443
38.652	447	38.678	441
38.704	446	38.728	440
38.754	446	38.779	441
38.805	446	38.829	444
38.855	447	38.881	450
38.906	447	38.932	458
38.956	446	38.982	467
39.008	446	39.033	476
39.058	446	39.083	486
39.109	447	39.135	496
39.159	447	39.185	507
39.210	447	39.236	514
39.261	446	39.286	521
39.312	447	39.337	526
39.362	447	39.388	530
39.413	446	39.439	530
39.463	447	39.489	529
39.515	448	39.540	526
39.565	448	39.590	520
39.616	448	39.642	513
39.666	447	39.692	504
39.717	447	39.743	493
39.767	446	39.793	484
39.819	446	39.844	474
39.869	447	39.894	466
39.920	447	39.946	458
39.970	446	39.996	450
40.021	447	40.047	445
40.072	446	40.097	443
40.123	447	40.148	442
40.173	447	40.199	444
40.224	446	40.250	447
40.274	447	40.300	453
40.326	446	40.351	460
40.376	447	40.401	469
40.427	448	40.453	477
40.477	447	40.503	488
40.528	447	40.554	496
40.578	446	40.604	505
40.630	447	40.655	513
40.680	447	40.705	520
40.731	446	40.757	525
40.781	448	40.807	528
40.832	447	40.858	528
40.883	447	40.908	527
40.934	447	40.959	524
40.984	448	41.010	518
41.035	447	41.061	510
41.085	446	41.111	502
41.137	447	41.162	493
41.187	447	41.212	485
41.238	447	41.264	475
41.288	447	41.314	466
41.339	446	41.365	458
41.389	447	41.415	452
41.441	447	41.466	447
41.491	447	41.516	444
41.542	447	41.568	444
41.592	446	41.618	446
41.643	447	41.669	448
41.694	447	41.719	455
41.745	447	41.770	461
41.795	447	41.821	470
41.846	447	41.872	479
41.896	447	41.922	487
41.948	447	41.973	497
41.998	446	42.023	505
42.049	447	42.075	513
42.099	447	42.125	518
42.150	446	42.176	523
42.201	448	42.226	525
42.252	446	42.277	527
42.302	446	42.327	524
42.353	446	42.379	521
42.403	447	42.429	516
42.454	447	42.480	508
42.505	448	42.530	500
42.556	447	42.581	493
42.606	446	42.632	483
42.657	447	42.683	475
42.707	447	42.733	464
42.759	447	42.784	459
42.809	447	42.834	453
42.860	447	42.886	449
42.910	446	42.936	447
42.961	447	42.987	447
43.012	447	43.037	447
43.063	446	43.088	451
43.113	447	43.138	458
43.164	447	43.190	463
43.214	447	43.240	472
43.265	447	43.291	478
43.316	447	43.341	489
43.367	447	43.392	496
43.418	447	43.443	505
43.468	448	43.494	512
43.519	446	43.544	517
43.570	446	43.595	521
43.621	447	43.645	524
43.671	446	43.697	524
43.722	448	43.747	523
43.772	447	43.798	519
43.824	447	43.848	513
43.874	447	43.899	508
43.925	447	43.949	499
43.975	447	44.001	491
44.026	447	44.051	482
44.076	446	44.102	474
44.128	447	44.152	466
44.178	447	44.203	460
44.229	446	44.254	455
44.279	446	44.305	450
44.330	447	44.355	449
44.381	446	44.406	448
44.432	446	44.456	450
44.482	446	44.508	453
44.533	447	44.558	458
44.583	447	44.609	465
44.635	446	44.659	473
44.685	447	44.710	479
44.736	447	44.761	489
44.786	446	44.812	496
44.837	447	44.862	505
44.887	447	44.913	510
44.939	448	44.963	516
44.989	446	45.014	520
45.040	447	45.065	522
45.090	446	45.116	519
45.141	445	45.166	521
45.192	447	45.217	517
45.243	446	45.267	512
45.293	447	45.319	506
45.344	447	45.369	497
45.394	447	45.420	491
45.446	446	45.470	481
45.496	446	45.521	475
45.547	447	45.572	467
45.597	447	45.623	461
45.648	448	45.673	456
45.698	448	45.724	453
45.750	446	45.774	451
45.800	447	45.825	451
45.851	446	45.876	453
45.901	446	45.927	456
45.952	447	45.977	461
46.003	447	46.028	467
46.054	446	46.078	475
46.104	447	46.130	480
46.155	446	46.180	489
46.205	446	46.231	497
46.257	447	46.281	504
46.307	447	46.332	509
46.358	447	46.383	514
46.408	447	46.434	518
46.459	447	46.485	519
46.509	447	46.535	520
46.561	447	46.586	517
46.611	447	46.636	515
46.662	447	46.688	510
46.712	447	46.738	503
46.763	446	46.789	496
46.814	447	46.839	489
46.865	447	46.890	481
46.915	447	46.941	474
46.966	447	46.992	468
47.016	448	47.042	462
47.068	447	47.093	458
47.118	446	47.143	454
47.169	446	47.195	452
47.219	447	47.245	453
47.270	447	47.296	455
47.321	446	47.346	459
47.372	445	47.397	463
47.422	447	47.447	467
47.473	446	47.499	476
47.523	447	47.549	483
47.574	448	47.600	489
47.625	446	47.650	496
47.676	447	47.701	504
47.726	447	47.752	509
47.777	446	47.803	513
47.827	446	47.853	516
47.879	447	47.904	518
47.929	447	47.954	519
47.980	447	48.006	515
48.030	447	48.056	513
48.081	447	48.107	507
48.132	447	48.157	502
48.183	447	48.208	495
48.233	446	48.258	488
48.284	447	48.310	481
48.334	447	48.360	474
48.385	446	48.411	468
48.436	446	48.461	462
48.487	446	48.512	459
48.537	447	48.563	455
48.588	446	48.614	455
48.638	446	48.664	455
48.690	447	48.715	458
48.740	447	48.765	459
48.791	446	48.817	467
48.841	447	48.867	470
48.892	446	48.918	477
48.943	447	48.968	483
48.994	447	49.019	490
49.044	446	49.069	497
49.095	447	49.121	503
49.145	447	49.171	508
49.196	446	49.222	512
49.247	447	49.272	516
49.298	446	49.323	515
49.348	447	49.374	516
49.399	448	49.425	513
49.449	447	49.475	510
49.501	447	49.526	506
49.551	447	49.576	500
49.602	446	49.628	493
49.652	447	49.678	488
49.703	447	49.729	481
49.754	447	49.779	474
49.805	446	49.830	468
49.855	448	49.881	464
49.906	446	49.932	460
49.956	446	49.982	457
50.007	447	50.033	456
50.058	447	50.083	458
50.109	446	50.134	459
50.160	447	50.185	462
50.210	447	50.236	467
50.261	446	50.286	472
50.312	447	50.337	478
50.363	447	50.387	485
50.413	447	50.439	491
50.464	446	50.489	497
50.514	447	50.540	502
50.566	447	50.590	507
50.616	447	50.641	511
50.667	447	50.692	513
50.717	447	50.743	514
50.768	447	50.793	514
50.818	446	50.844	512
50.870	447	50.894	507
50.920	447	50.945	504
50.971	447	50.996	498
51.021	446	51.047	493
51.072	448	51.097	486
51.123	447	51.148	481
51.174	446	51.198	475
51.224	447	51.250	468
51.275	447	51.300	464
51.325	446	51.351	461
51.377	447	51.401	459
51.427	447	51.452	459
51.478	446	51.503	459
51.528	446	51.554	462
51.579	446	51.604	463
51.629	447	51.655	467
51.681	446	51.705	473
51.731	447	51.756	480
51.782	447	51.807	484
51.832	447	51.858	491
51.883	446	51.908	497
51.934	447	51.959	502
51.985	446	52.009	506
52.035	447	52.061	509
52.086	447	52.111	512
52.136	446	52.162	512
52.188	448	52.212	511
52.238	447	52.263	510
52.289	446	52.314	506
52.339	447	52.365	502
52.390	447	52.415	497
52.441	446	52.466	491
52.492	447	52.516	485
52.542	447	52.567	479
52.593	447	52.618	474
52.643	447	52.669	470
52.694	447	52.719	466
52.745	448	52.770	462
52.796	448	52.820	461
52.846	447	52.872	460
52.897	447	52.922	462
52.947	447	52.973	463
52.999	446	53.023	466
53.049	447	53.074	470
53.100	446	53.125	475
53.150	448	53.176	481
53.201	447	53.227	486
53.252	447	53.277	492
53.303	447	53.328	496
53.353	447	53.378	502
53.404	446	53.430	505
53.454	448	53.480	507
53.505	446	53.531	511
53.556	447	53.581	510
53.607	446	53.632	510
53.657	447	53.683	507
53.708	447	53.734	504
53.758	446	53.784	501
53.810	448	53.835	495
53.860	447	53.885	492
53.911	447	53.937	485
53.961	446	53.987	480
54.012	447	54.038	475
54.063	446	54.088	470
54.114	446	54.139	466
54.164	447	54.189	464
54.215	448	54.241	461
54.265	447	54.291	462
54.316	447	54.342	463
54.367	446	54.392	465
54.418	446	54.443	468
54.468	447	54.494	472
54.519	446	54.545	477
54.569	447	54.595	481
54.621	447	54.646	487
54.671	447	54.696	492
54.722	447	54.748	497
54.772	447	54.798	501
54.823	447	54.849	504
54.874	447	54.899	507
54.925	446	54.950	508
54.975	447	55.001	509
55.026	447	55.052	508
55.076	447	55.102	505
55.127	448	55.153	501
55.178	446	55.203	499
55.229	447	55.254	495
55.279	447	55.305	489
55.330	447	55.356	484
55.380	446	55.406	479
55.432	448	55.457	474
55.482	447	55.507	470
55.533	446	55.559	467
55.583	447	55.609	466
55.634	447	55.660	463
55.685	447	55.710	464
55.736	446	55.761	465
55.786	447	55.812	466
55.837	447	55.863	470
55.887	448	55.913	474
55.938	447	55.964	479
55.989	447	56.014	482
56.040	447	56.065	487
56.090	447	56.116	492
56.141	446	56.167	497
56.191	446	56.217	499
56.243	446	56.268	504
56.293	446	56.318	505
56.344	446	56.370	508
56.394	447	56.420	507
56.445	447	56.471	506
56.496	447	56.521	503
56.547	447	56.572	501
56.597	446	56.623	497
56.648	447	56.674	492
56.698	447	56.724	488
56.749	448	56.775	484
56.800	446	56.825	480
56.851	447	56.876	475
56.901	447	56.927	471
56.952	446	56.978	468
57.002	447	57.028	466
57.054	447	57.079	465
57.104	445	57.129	466
57.155	447	57.181	467
57.205	447	57.231	469
57.256	446	57.282	471
57.307	446	57.332	475
57.358	447	57.383	479
57.408	447	57.434	483
57.459	446	57.485	488
57.509	446	57.535	491
57.561	447	57.586	496
57.611	448	57.636	500
57.662	447	57.687	503
57.712	447	57.738	503
57.763	447	57.789	505
57.813	447	57.839	505
57.865	447	57.890	503
57.915	447	57.940	501
57.966	447	57.992	499
58.016	447	58.042	495
58.067	447	58.093	491
58.118	448	58.143	487
