#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
370.176813	2.119568	0.033114
371.236589	2.119576	0.033226
372.296389	2.119533	0.033330
373.356122	2.119483	0.033432
374.415872	2.119468	0.033536
375.475590	2.119427	0.033644
376.535299	2.119440	0.033754
377.595030	2.119442	0.033860
378.654741	2.119401	0.033970
379.714431	2.119360	0.034086
380.774101	2.119326	0.034190
381.833757	2.119286	0.034294
382.893387	2.119264	0.034402
383.953021	2.119250	0.034506
385.012637	2.119232	0.034618
386.072253	2.119218	0.034730
387.131855	2.119176	0.034842
388.191429	2.119159	0.034950
389.251014	2.119162	0.035052
390.310591	2.119141	0.035166
391.370155	2.119102	0.035282
392.429693	2.119086	0.035390
393.489241	2.119043	0.035494
394.548736	2.118988	0.035616
395.608229	2.118994	0.035726
396.667730	2.118983	0.035832
397.727212	2.118941	0.035952
398.786671	2.118908	0.036054
399.846120	2.118890	0.036172
400.905561	2.118840	0.036314
401.964960	2.118820	0.036416
403.024381	2.118834	0.036502
404.083794	2.118794	0.036640
405.143175	2.118745	0.036778
406.202539	2.118750	0.036870
407.261925	2.118745	0.036962
408.321284	2.118696	0.037096
409.380621	2.118672	0.037222
410.439956	2.118664	0.037348
411.499285	2.118631	0.037478
412.558587	2.118615	0.037610
413.617900	2.118619	0.037716
414.677206	2.118596	0.037804
415.736496	2.118556	0.037920
416.795762	2.118529	0.038044
417.855025	2.118486	0.038174
418.914248	2.118471	0.038296
419.973496	2.118483	0.038396
421.032731	2.118449	0.038522
422.091945	2.118432	0.038654
423.151163	2.118425	0.038782
424.210370	2.118393	0.038928
425.269556	2.118372	0.039068
426.328742	2.118348	0.039180
427.387904	2.118333	0.039280
428.447075	2.118323	0.039398
429.506227	2.118328	0.039530
430.565403	2.118315	0.039674
431.624542	2.118287	0.039812
432.683690	2.118247	0.039936
433.742789	2.118195	0.040042
434.801885	2.118207	0.040154
435.860996	2.118199	0.040304
436.920084	2.118172	0.040448
437.979168	2.118164	0.040568
439.038248	2.118136	0.040692
440.097304	2.118129	0.040840
441.156377	2.118119	0.040974
442.215423	2.118090	0.041102
443.274467	2.118069	0.041238
444.333492	2.118021	0.041352
445.392488	2.118001	0.041488
446.451493	2.118016	0.041626
447.510504	2.117964	0.041752
448.569457	2.117963	0.041894
449.628467	2.117957	0.042034
450.687414	2.117886	0.042172
451.746353	2.117890	0.042306
452.805304	2.117883	0.042456
453.864236	2.117851	0.042604
454.923155	2.117801	0.042730
455.982037	2.117788	0.042850
457.040943	2.117862	0.042986
458.099899	2.117831	0.043138
459.158774	2.117741	0.043280
460.217640	2.117728	0.043432
461.276502	2.117725	0.043572
462.335365	2.117702	0.043706
463.394204	2.117662	0.043860
464.453027	2.117660	0.044006
465.511864	2.117658	0.044140
466.570685	2.117626	0.044286
467.629490	2.117614	0.044436
468.688299	2.117605	0.044578
469.747095	2.117586	0.044714
470.805885	2.117565	0.044878
471.864660	2.117570	0.045044
472.923455	2.117557	0.045186
473.982217	2.117518	0.045330
475.040973	2.117508	0.045486
476.099725	2.117496	0.045630
477.158469	2.117470	0.045778
478.217195	2.117449	0.045930
479.275918	2.117426	0.046092
480.334621	2.117417	0.046262
481.393335	2.117409	0.046406
482.452030	2.117385	0.046556
483.510720	2.117342	0.046716
484.569372	2.117311	0.046900
485.628031	2.117329	0.047082
486.686701	2.117337	0.047182
487.745368	2.117305	0.047312
488.804006	2.117279	0.047500
489.862647	2.117255	0.047674
490.921261	2.117240	0.047830
491.979887	2.117229	0.048010
