#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
23.292	350	23.317	526
23.343	350	23.368	520
23.393	353	23.419	516
23.444	361	23.470	511
23.494	369	23.520	507
23.546	381	23.571	505
23.596	394	23.621	503
23.647	408	23.673	503
23.697	424	23.723	505
23.748	437	23.774	507
23.798	450	23.824	512
23.850	460	23.875	516
23.900	469	23.925	521
23.951	474	23.977	528
24.001	476	24.027	534
24.052	474	24.078	539
24.103	470	24.128	546
24.154	464	24.179	550
24.204	453	24.230	554
24.255	442	24.281	556
24.305	429	24.331	557
24.357	415	24.382	556
24.407	401	24.432	553
24.458	388	24.484	551
24.508	376	24.534	547
24.559	366	24.585	541
24.609	360	24.635	534
24.661	355	24.686	527
24.711	355	24.736	521
24.762	357	24.788	513
24.812	362	24.838	508
24.863	369	24.889	503
24.914	379	24.939	501
24.965	391	24.990	498
25.015	404	25.041	498
25.066	418	25.092	499
25.116	431	25.142	503
25.168	444	25.193	506
25.218	453	25.243	511
25.269	462	25.295	518
25.319	468	25.345	525
25.370	471	25.396	532
25.420	469	25.446	538
25.472	468	25.497	546
25.522	462	25.547	552
25.573	455	25.599	557
25.623	444	25.649	559
25.674	432	25.700	563
25.725	419	25.750	562
25.776	406	25.801	560
25.827	395	25.852	556
25.877	382	25.903	552
25.928	374	25.953	546
25.979	366	26.004	539
26.030	361	26.054	530
26.080	359	26.106	523
26.131	361	26.156	515
26.181	365	26.207	508
26.233	370	26.257	502
26.283	380	26.308	498
26.334	390	26.358	495
26.384	401	26.410	492
26.435	413	26.460	494
26.485	425	26.511	495
26.537	436	26.561	501
26.587	447	26.612	506
26.638	455	26.663	514
26.688	461	26.714	519
26.739	464	26.764	529
26.790	465	26.815	538
26.841	464	26.865	546
26.891	460	26.917	553
26.942	453	26.967	558
26.992	443	27.018	563
27.044	435	27.068	566
27.094	423	27.119	567
27.145	412	27.169	565
27.195	400	27.221	562
27.246	390	27.271	556
27.296	381	27.322	551
27.348	374	27.372	542
27.398	369	27.423	534
27.449	365	27.474	525
27.499	366	27.525	517
27.550	368	27.575	509
27.601	374	27.626	501
27.652	381	27.676	494
27.702	388	27.728	491
27.753	399	27.778	489
27.803	409	27.829	489
27.855	420	27.879	493
27.905	430	27.930	495
27.956	439	27.980	503
28.006	448	28.032	508
28.057	453	28.082	517
28.107	457	28.133	526
28.159	459	28.183	535
28.209	457	28.234	544
28.260	455	28.285	553
28.310	450	28.336	559
28.361	443	28.386	564
28.412	434	28.437	568
28.463	427	28.487	570
28.513	415	28.539	569
28.564	406	28.589	566
28.614	396	28.640	562
28.666	388	28.690	554
28.716	381	28.741	547
28.767	377	28.791	538
28.817	374	28.843	529
28.868	372	28.894	518
28.918	374	28.944	510
28.970	378	28.995	502
29.020	383	29.045	495
29.071	389	29.097	490
29.121	399	29.147	487
29.172	406	29.198	486
29.223	415	29.248	487
29.274	424	29.299	491
29.324	432	29.350	495
29.375	440	29.401	504
29.425	446	29.451	511
29.477	450	29.502	522
29.527	452	29.552	532
29.578	452	29.604	542
29.628	450	29.654	550
29.679	447	29.705	559
29.729	441	29.755	565
29.781	434	29.806	569
29.831	426	29.856	572
29.882	420	29.908	572
29.932	411	29.958	569
29.983	402	30.009	566
30.034	395	30.059	559
30.085	388	30.110	552
30.135	384	30.161	544
30.186	381	30.212	532
30.236	380	30.262	523
30.288	379	30.313	512
30.338	383	30.363	503
30.389	386	30.415	496
30.439	391	30.465	489
30.490	398	30.516	486
30.540	405	30.566	483
30.592	412	30.617	484
30.642	419	30.667	486
30.693	427	30.719	492
30.743	433	30.769	498
30.794	438	30.820	508
30.845	443	30.870	517
30.896	445	30.921	528
30.946	446	30.972	539
30.997	445	31.023	549
31.047	442	31.073	558
31.099	439	31.124	564
31.149	433	31.174	571
31.200	428	31.226	573
31.250	420	31.276	575
31.301	413	31.327	573
31.351	408	31.377	570
31.403	402	31.428	563
31.453	395	31.478	555
31.504	391	31.530	546
31.554	388	31.580	537
31.605	386	31.631	526
31.656	386	31.681	515
31.707	387	31.732	506
31.757	390	31.783	497
31.808	394	31.834	490
31.858	400	31.884	486
31.910	404	31.935	482
31.960	410	31.985	482
32.011	416	32.037	485
32.061	421	32.087	488
32.112	427	32.138	493
32.163	431	32.188	503
32.214	435	32.239	513
32.264	437	32.289	524
32.315	438	32.341	535
32.365	437	32.391	545
32.416	436	32.442	555
32.467	434	32.492	563
32.518	430	32.543	569
32.568	427	32.594	574
32.619	422	32.645	576
32.669	415	32.695	576
32.721	411	32.746	572
32.771	406	32.796	568
32.822	402	32.848	558
32.872	398	32.898	549
32.923	395	32.949	540
32.974	394	32.999	530
33.025	394	33.050	519
33.075	394	33.100	509
33.126	396	33.152	498
33.176	398	33.202	491
33.227	401	33.253	485
33.278	405	33.303	481
33.329	410	33.354	481
33.380	413	33.405	482
33.430	418	33.456	486
33.481	421	33.506	493
33.532	425	33.557	501
33.583	428	33.607	511
33.633	429	33.659	520
33.684	431	33.709	531
33.734	431	33.760	542
33.786	430	33.810	552
33.836	429	33.861	559
33.887	427	33.911	568
33.937	423	33.963	572
33.988	420	34.013	575
34.038	417	34.064	576
34.090	412	34.114	572
34.140	409	34.165	568
