#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
21.721	446	21.745	417
21.771	448	21.797	424
21.822	447	21.847	433
21.872	448	21.898	447
21.924	447	21.948	461
21.974	447	21.999	476
22.025	447	22.050	491
22.075	448	22.101	507
22.126	448	22.151	520
22.176	447	22.202	531
22.228	448	22.252	541
22.278	448	22.303	546
22.329	448	22.354	549
22.379	447	22.405	548
22.430	448	22.455	544
22.481	448	22.506	537
22.532	447	22.556	526
22.582	447	22.608	515
22.633	447	22.658	500
22.683	448	22.709	486
22.735	448	22.759	471
22.785	447	22.810	456
22.836	447	22.861	443
22.886	447	22.912	431
22.937	448	22.962	423
22.987	447	23.013	418
23.039	448	23.063	415
23.089	447	23.114	417
23.140	447	23.165	419
23.190	447	23.216	429
23.241	447	23.266	437
23.292	448	23.317	450
23.343	447	23.367	464
23.393	448	23.419	478
23.444	448	23.469	494
23.494	447	23.520	505
23.546	448	23.570	519
23.596	448	23.621	529
23.647	448	23.672	538
23.697	448	23.723	544
23.748	448	23.774	546
23.798	448	23.824	545
23.850	448	23.875	541
23.900	448	23.925	534
23.951	448	23.977	525
24.001	448	24.027	513
24.052	448	24.078	499
24.103	447	24.128	485
24.154	448	24.179	470
24.204	447	24.230	457
24.255	448	24.281	445
24.305	448	24.331	434
24.357	446	24.382	425
24.407	448	24.432	420
24.458	448	24.484	417
24.508	448	24.534	420
24.559	447	24.585	424
24.610	448	24.635	431
24.661	448	24.686	440
24.711	447	24.736	452
24.762	447	24.788	465
24.812	447	24.838	479
24.863	447	24.889	493
24.914	447	24.939	507
24.965	446	24.990	518
25.015	448	25.041	529
25.066	447	25.092	536
25.116	447	25.142	542
25.168	447	25.193	543
25.218	448	25.243	542
25.269	448	25.295	539
25.319	447	25.345	530
25.370	447	25.396	522
25.421	447	25.446	511
25.472	448	25.497	498
25.522	447	25.547	484
25.573	448	25.599	469
25.623	448	25.649	457
25.674	447	25.700	446
25.725	447	25.750	435
25.776	448	25.801	428
25.826	447	25.852	423
25.877	447	25.903	421
25.927	448	25.953	423
25.979	447	26.004	426
26.029	447	26.054	433
26.080	447	26.106	443
26.130	448	26.156	454
26.181	448	26.207	466
26.232	448	26.257	480
26.283	447	26.308	493
26.333	447	26.358	506
26.384	449	26.410	517
26.434	447	26.460	527
26.485	448	26.511	532
26.536	447	26.561	539
26.587	448	26.612	539
26.637	448	26.663	540
26.688	448	26.714	535
26.738	448	26.764	528
26.790	448	26.815	519
26.840	448	26.865	508
26.891	447	26.917	495
26.941	449	26.967	482
26.992	448	27.018	469
27.043	448	27.068	456
27.094	446	27.119	446
27.144	447	27.170	436
27.195	447	27.221	429
27.245	447	27.271	424
27.296	447	27.322	424
27.347	448	27.372	425
27.398	448	27.423	430
27.449	447	27.474	436
27.499	447	27.525	444
27.550	447	27.575	455
27.601	448	27.626	468
27.652	448	27.676	481
27.702	448	27.728	493
27.753	447	27.778	505
27.803	448	27.829	516
27.855	448	27.879	526
27.905	448	27.930	532
27.956	447	27.981	538
28.006	447	28.032	538
28.057	447	28.082	537
28.107	448	28.133	534
28.159	447	28.183	525
28.209	447	28.234	518
28.260	447	28.285	506
28.310	449	28.336	493
28.361	448	28.386	482
28.412	448	28.437	469
28.463	447	28.487	457
28.513	449	28.539	447
28.564	447	28.589	437
28.614	447	28.640	430
28.666	447	28.690	427
28.716	447	28.741	425
28.767	448	28.792	427
28.817	447	28.843	432
28.868	448	28.893	438
28.918	447	28.944	447
28.970	448	28.994	457
29.020	447	29.045	469
29.071	447	29.096	481
29.121	448	29.147	492
29.172	448	29.197	505
29.223	449	29.248	515
29.274	448	29.298	524
29.324	447	29.350	531
29.375	448	29.400	535
29.425	448	29.451	535
29.477	448	29.501	534
29.527	447	29.552	531
29.578	447	29.603	523
29.628	447	29.654	515
29.679	448	29.704	505
29.730	447	29.755	492
29.781	447	29.805	481
29.831	448	29.856	469
29.882	448	29.907	457
29.932	446	29.958	448
29.983	447	30.008	439
30.034	447	30.059	433
30.085	447	30.109	431
30.135	448	30.161	429
30.186	448	30.211	430
30.236	447	30.262	435
30.288	448	30.312	441
30.338	448	30.363	449
30.389	446	30.414	459
30.439	448	30.465	471
30.490	448	30.516	483
30.541	448	30.566	493
30.592	448	30.617	504
30.642	447	30.667	515
30.693	447	30.719	522
30.743	447	30.769	529
30.794	448	30.820	533
30.845	447	30.870	533
30.896	449	30.921	532
30.946	448	30.972	528
30.997	448	31.023	520
31.047	448	31.073	513
31.099	448	31.124	503
31.149	448	31.174	493
31.200	448	31.226	481
31.250	447	31.276	470
31.301	448	31.327	458
31.352	448	31.377	450
31.403	448	31.428	441
31.453	447	31.478	436
31.504	446	31.530	433
31.554	447	31.580	431
31.605	447	31.631	433
31.656	448	31.681	437
31.707	447	31.732	444
31.757	448	31.783	451
31.808	448	31.834	462
31.858	446	31.884	471
31.910	448	31.935	483
31.960	448	31.985	493
32.011	447	32.037	504
32.061	448	32.087	514
32.112	448	32.138	521
32.163	448	32.188	527
32.214	446	32.239	531
32.264	447	32.290	531
32.315	448	32.341	530
32.365	447	32.391	525
32.416	448	32.442	519
32.467	447	32.492	511
32.518	448	32.543	501
32.568	447	32.594	491
32.619	447	32.645	479
32.669	446	32.695	470
32.721	448	32.746	460
32.771	448	32.796	450
32.822	447	32.848	442
32.872	448	32.898	437
32.923	448	32.949	434
32.974	446	32.999	434
33.025	448	33.050	436
33.075	448	33.101	440
33.126	448	33.152	447
33.176	448	33.202	455
33.227	447	33.253	462
33.278	447	33.303	473
33.329	447	33.354	484
33.379	448	33.405	494
33.430	447	33.456	504
33.480	447	33.506	513
33.532	448	33.557	519
33.582	447	33.607	524
33.633	447	33.659	528
33.683	447	33.709	529
33.734	447	33.760	527
33.785	447	33.810	523
33.836	448	33.861	515
33.886	447	33.912	509
33.937	448	33.963	500
33.987	447	34.013	490
34.038	447	34.064	478
34.089	447	34.114	469
34.140	448	34.165	460
34.190	448	34.216	451
34.241	447	34.267	445
34.291	447	34.317	440
34.343	448	34.368	436
34.393	447	34.418	437
34.444	448	34.470	437
34.494	447	34.520	442
34.545	447	34.571	448
34.596	447	34.621	456
34.647	447	34.672	463
34.697	446	34.723	475
34.748	448	34.774	485
34.798	447	34.824	494
34.850	447	34.875	503
34.900	448	34.925	512
34.951	448	34.976	518
35.001	446	35.027	523
35.052	448	35.078	527
35.102	448	35.128	527
35.154	448	35.179	524
35.204	448	35.229	522
35.255	448	35.281	514
35.305	447	35.331	505
35.356	448	35.382	498
35.407	448	35.432	489
35.458	447	35.483	479
35.508	448	35.534	468
35.559	447	35.585	460
35.609	449	35.635	452
35.661	447	35.686	446
35.711	448	35.736	441
35.762	447	35.787	437
35.812	448	35.838	439
35.863	447	35.889	440
35.913	448	35.939	444
35.965	447	35.990	450
36.015	447	36.040	457
36.066	447	36.092	466
36.116	447	36.142	475
36.167	447	36.193	485
36.218	448	36.243	495
36.269	447	36.294	503
36.319	448	36.345	511
36.370	447	36.396	517
36.420	448	36.446	522
36.472	448	36.497	524
36.522	448	36.547	525
36.573	448	36.598	521
36.623	448	36.649	519
36.674	447	36.700	510
36.724	447	36.750	504
36.776	447	36.801	497
36.826	448	36.851	488
36.877	447	36.903	478
36.927	447	36.953	469
36.978	448	37.004	461
37.029	447	37.054	453
37.080	447	37.105	447
37.130	448	37.156	443
37.181	447	37.207	442
37.231	448	37.257	440
37.283	447	37.308	443
37.333	448	37.358	446
37.384	448	37.410	452
37.434	447	37.460	460
37.485	448	37.511	466
37.535	448	37.561	476
37.587	448	37.612	486
37.637	447	37.662	495
37.688	448	37.714	503
37.738	447	37.764	510
37.789	448	37.815	516
37.840	448	37.865	519
37.891	448	37.916	522
37.941	448	37.967	521
37.992	448	38.018	520
38.042	447	38.068	517
38.094	447	38.119	511
38.144	448	38.169	504
38.195	448	38.221	495
38.245	448	38.271	487
38.296	448	38.322	478
38.346	448	38.372	470
38.398	448	38.423	461
38.448	448	38.473	455
38.499	447	38.525	450
38.549	447	38.575	445
38.600	448	38.626	442
38.651	447	38.676	443
38.702	447	38.727	445
38.752	447	38.778	450
38.803	448	38.829	455
38.853	448	38.879	461
38.905	447	38.930	469
38.955	448	38.980	477
39.006	448	39.032	486
39.056	447	39.082	493
39.107	447	39.133	503
39.157	447	39.183	508
39.209	447	39.234	515
39.259	448	39.284	518
39.310	448	39.336	520
39.360	448	39.386	520
39.411	448	39.437	517
39.463	447	39.487	514
39.513	449	39.538	508
39.564	448	39.589	502
39.614	447	39.640	493
39.665	447	39.690	486
39.716	448	39.741	477
39.767	447	39.791	469
39.817	447	39.843	461
39.868	449	39.893	455
39.918	448	39.944	451
39.970	448	39.994	446
40.020	448	40.045	446
40.071	447	40.095	444
40.121	447	40.147	447
40.172	447	40.197	451
40.222	448	40.248	456
40.274	448	40.298	463
40.324	448	40.349	471
40.375	448	40.400	478
40.425	448	40.451	486
40.476	448	40.501	496
40.527	448	40.552	501
40.578	448	40.602	508
40.628	448	40.654	512
40.679	448	40.704	517
40.729	448	40.755	518
40.781	448	40.805	517
40.831	448	40.856	515
40.882	448	40.906	512
40.932	448	40.958	507
40.983	448	41.008	500
41.033	448	41.059	493
41.085	448	41.109	484
41.135	448	41.160	476
41.186	448	41.211	469
41.236	448	41.262	461
41.287	448	41.312	456
41.338	448	41.363	451
41.389	447	41.413	449
41.439	448	41.465	448
41.490	448	41.515	447
41.540	447	41.566	447
41.592	447	41.616	452
41.642	447	41.667	459
41.693	448	41.717	464
41.743	448	41.769	472
41.794	447	41.819	479
41.844	448	41.870	487
41.896	447	41.920	495
41.946	448	41.971	501
41.997	448	42.022	507
42.047	447	42.073	512
42.098	447	42.123	514
42.149	448	42.174	517
42.200	448	42.224	514
42.250	448	42.276	514
42.301	448	42.326	510
42.351	447	42.377	505
42.403	447	42.427	498
42.453	447	42.478	492
42.504	448	42.528	484
42.554	447	42.580	477
42.605	447	42.631	470
42.655	447	42.681	463
42.707	447	42.732	456
42.757	447	42.782	454
42.808	448	42.834	449
42.858	447	42.884	448
42.909	447	42.935	450
42.960	448	42.985	453
43.011	448	43.036	456
43.061	448	43.087	460
43.112	448	43.138	466
43.162	447	43.188	473
43.214	448	43.239	480
43.264	448	43.289	487
43.315	447	43.341	493
43.365	448	43.391	500
43.416	447	43.442	506
43.466	448	43.492	511
43.518	449	43.543	514
43.568	448	43.593	513
43.619	448	43.645	514
43.669	448	43.695	512
43.720	448	43.746	508
43.771	448	43.796	503
43.822	449	43.847	497
43.872	447	43.898	491
43.923	448	43.949	484
43.973	447	43.999	476
44.025	447	44.050	469
44.075	448	44.100	464
44.126	447	44.152	458
44.176	448	44.202	455
44.227	447	44.253	451
44.277	448	44.303	450
44.329	446	44.354	452
44.379	448	44.404	453
44.430	447	44.456	456
44.480	448	44.506	462
44.531	447	44.557	468
44.582	448	44.607	475
44.633	447	44.658	481
44.683	447	44.709	487
44.734	447	44.760	495
44.784	447	44.810	500
44.836	447	44.861	504
44.886	448	44.911	509
44.937	448	44.963	512
44.987	448	45.013	513
45.038	447	45.064	512
45.088	448	45.114	510
45.140	447	45.165	506
45.190	447	45.215	502
45.241	448	45.267	495
45.291	447	45.317	490
45.342	447	45.368	482
45.393	447	45.418	478
45.444	448	45.469	470
45.494	448	45.520	464
45.545	447	45.571	459
45.595	447	45.621	455
45.647	447	45.672	453
45.697	447	45.722	452
45.748	447	45.774	453
45.798	448	45.824	455
45.849	448	45.875	458
45.899	448	45.925	464
45.951	446	45.976	469
46.001	447	46.026	475
46.052	447	46.078	482
46.102	448	46.128	489
46.153	448	46.179	494
46.204	448	46.229	499
46.255	447	46.280	504
46.306	447	46.331	506
46.356	447	46.382	509
46.407	447	46.432	509
46.458	448	46.483	509
46.509	447	46.533	506
46.559	447	46.585	504
46.610	448	46.635	501
46.660	447	46.686	493
46.712	448	46.736	488
46.762	448	46.787	482
46.813	447	46.837	477
46.863	448	46.889	470
46.914	448	46.939	465
46.964	447	46.990	460
47.016	448	47.040	458
47.066	447	47.091	455
47.117	449	47.142	455
47.167	447	47.193	455
47.218	447	47.243	457
47.269	447	47.294	461
47.320	448	47.344	465
47.370	447	47.396	470
47.421	448	47.446	477
47.471	447	47.497	481
47.523	447	47.547	488
47.573	448	47.598	494
47.624	448	47.648	498
47.674	449	47.700	503
47.725	448	47.750	505
47.775	448	47.801	508
47.827	447	47.851	508
47.877	448	47.902	507
47.928	448	47.953	505
47.978	448	48.004	502
48.029	447	48.054	497
48.080	448	48.105	492
48.131	448	48.155	488
48.181	447	48.207	481
48.232	447	48.257	475
48.282	447	48.308	469
48.334	448	48.358	465
48.384	445	48.409	461
48.435	448	48.459	458
48.485	447	48.511	457
48.536	447	48.561	456
48.586	447	48.612	457
48.638	448	48.662	459
48.688	447	48.713	463
48.739	447	48.764	466
48.789	448	48.815	472
48.840	448	48.865	478
48.891	448	48.916	483
48.942	447	48.966	488
48.992	447	49.018	494
49.043	448	49.068	499
49.093	448	49.119	501
49.145	448	49.169	505
49.195	447	49.220	506
49.246	447	49.270	507
49.296	448	49.322	505
49.347	448	49.373	504
49.397	448	49.423	499
49.449	447	49.474	497
49.499	448	49.524	492
49.550	447	49.576	487
49.600	447	49.626	481
49.651	447	49.677	475
49.702	446	49.727	471
49.753	448	49.778	466
49.803	447	49.829	462
49.854	448	49.880	460
49.904	447	49.930	459
49.956	447	49.981	457
50.006	447	50.031	459
50.057	448	50.083	461
50.107	448	50.133	465
50.158	447	50.184	468
50.208	447	50.234	474
50.260	448	50.285	478
50.310	448	50.335	483
50.361	447	50.387	488
50.411	448	50.437	493
50.462	447	50.488	498
50.513	448	50.538	501
50.564	448	50.589	503
50.614	448	50.640	505
50.665	447	50.691	506
50.715	447	50.741	503
50.767	447	50.792	502
50.817	447	50.842	498
50.868	448	50.894	495
50.918	448	50.944	490
50.969	448	50.995	485
51.019	446	51.045	480
51.071	448	51.096	476
51.121	447	51.146	470
51.172	448	51.198	467
51.222	448	51.248	464
51.273	447	51.299	460
51.324	448	51.349	461
51.375	448	51.400	459
51.425	448	51.451	461
51.476	447	51.502	463
51.526	448	51.552	465
51.578	447	51.603	470
51.628	448	51.653	474
51.679	448	51.705	479
51.729	447	51.755	484
51.780	447	51.806	488
51.830	448	51.856	493
51.882	447	51.907	497
51.932	448	51.957	500
51.983	448	52.009	502
52.033	448	52.059	502
52.084	447	52.110	504
52.135	448	52.160	500
52.186	447	52.211	500
52.236	448	52.262	496
52.287	448	52.313	493
52.337	446	52.363	489
52.389	447	52.414	484
52.439	448	52.464	480
52.490	447	52.516	475
52.540	448	52.566	471
52.591	448	52.617	467
52.642	448	52.667	464
52.693	448	52.718	463
52.743	447	52.768	462
52.794	448	52.820	462
52.844	448	52.870	463
52.895	448	52.921	465
52.946	447	52.971	468
52.997	447	53.022	472
53.047	447	53.073	475
53.098	448	53.124	480
53.148	448	53.174	485
53.200	448	53.225	489
53.250	447	53.275	492
53.301	447	53.327	496
53.351	448	53.377	499
53.402	447	53.428	500
53.453	446	53.478	501
53.504	447	53.529	501
53.554	448	53.579	500
53.605	448	53.631	497
53.655	447	53.681	495
53.706	448	53.732	492
53.757	448	53.782	489
53.808	448	53.833	483
53.859	447	53.884	479
53.909	448	53.935	475
53.960	447	53.985	472
54.011	448	54.036	468
54.062	447	54.086	466
54.112	447	54.138	463
54.163	448	54.188	464
54.213	448	54.239	463
54.265	448	54.289	465
54.315	448	54.340	467
54.366	447	54.390	470
54.416	447	54.442	473
54.467	448	54.492	477
54.517	446	54.543	481
54.569	447	54.593	485
54.619	447	54.644	488
54.670	447	54.695	492
54.720	447	54.746	496
54.771	447	54.796	499
54.822	448	54.847	499
54.873	447	54.897	499
54.923	447	54.949	499
54.974	448	54.999	497
55.024	447	55.050	496
