#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
21.874	449	21.899	582
21.924	449	21.949	593
21.975	448	22.001	599
22.025	448	22.051	598
22.076	448	22.102	590
22.127	448	22.152	577
22.178	448	22.203	561
22.228	449	22.254	541
22.279	447	22.305	517
22.329	448	22.355	491
22.380	449	22.406	465
22.431	448	22.456	440
22.482	448	22.507	415
22.533	449	22.558	395
22.583	449	22.609	379
22.634	447	22.659	369
22.685	447	22.710	365
22.736	447	22.760	365
22.786	448	22.812	372
22.837	449	22.862	385
22.887	447	22.913	401
22.939	447	22.963	423
22.989	448	23.014	447
23.040	448	23.065	473
23.090	448	23.116	499
23.141	448	23.166	524
23.191	448	23.217	547
23.243	448	23.267	566
23.293	449	23.318	581
23.344	448	23.369	592
23.394	450	23.420	595
23.445	449	23.470	595
23.496	447	23.521	587
23.547	448	23.571	575
23.597	447	23.623	558
23.648	449	23.673	537
23.698	448	23.724	512
23.750	449	23.774	488
23.800	449	23.825	462
23.851	449	23.876	438
23.901	448	23.927	415
23.952	448	23.977	396
24.002	448	24.028	381
24.054	448	24.078	371
24.104	448	24.129	366
24.155	449	24.180	368
24.205	448	24.231	377
24.256	447	24.281	389
24.307	448	24.332	406
24.358	447	24.382	427
24.408	447	24.434	451
24.459	449	24.484	475
24.509	448	24.535	500
24.561	447	24.585	526
24.611	448	24.636	547
24.662	449	24.687	567
24.712	448	24.738	580
24.763	449	24.788	590
24.814	449	24.839	593
24.865	448	24.889	592
24.915	449	24.940	584
24.966	450	24.991	571
25.016	448	25.042	554
25.067	449	25.092	533
25.118	448	25.143	508
25.169	449	25.193	484
25.219	449	25.245	460
25.270	449	25.295	435
25.320	448	25.346	414
25.372	448	25.396	396
25.422	447	25.447	382
25.473	446	25.498	374
25.523	448	25.549	371
25.574	448	25.600	372
25.625	448	25.650	380
25.676	447	25.701	391
25.726	449	25.751	409
25.777	448	25.803	431
25.827	448	25.853	453
25.878	448	25.904	479
25.929	449	25.954	502
25.980	449	26.005	527
26.030	448	26.056	547
26.081	449	26.107	566
26.131	450	26.157	579
26.183	449	26.208	587
26.233	449	26.258	591
26.284	449	26.310	588
26.334	448	26.360	580
26.385	449	26.411	567
26.436	449	26.461	550
26.487	449	26.512	528
26.537	449	26.562	507
26.588	449	26.614	482
26.638	448	26.664	458
26.689	448	26.715	435
26.740	448	26.765	413
26.791	447	26.816	396
26.841	447	26.867	382
26.892	448	26.918	375
26.942	448	26.968	372
26.994	448	27.019	375
27.044	447	27.069	382
27.095	448	27.121	396
27.145	448	27.171	413
27.196	448	27.222	435
27.247	448	27.272	458
27.298	447	27.323	482
27.348	448	27.374	505
27.399	448	27.425	529
27.449	449	27.475	549
27.500	448	27.526	566
27.551	449	27.576	578
27.602	448	27.627	585
27.652	449	27.678	588
27.703	450	27.729	585
27.753	447	27.779	576
27.805	449	27.830	562
27.855	449	27.880	547
27.906	448	27.932	526
27.956	448	27.982	502
28.007	448	28.033	478
28.058	448	28.083	456
28.109	448	28.134	433
28.159	448	28.185	411
28.210	448	28.236	397
28.260	448	28.286	385
28.311	447	28.337	377
28.362	448	28.387	375
28.413	448	28.438	379
28.463	448	28.489	387
28.514	449	28.540	400
28.564	449	28.590	418
28.616	448	28.641	439
28.666	449	28.691	460
28.717	448	28.743	484
28.767	448	28.793	507
28.818	448	28.844	530
28.869	449	28.894	550
28.920	448	28.945	565
28.970	448	28.996	577
29.021	449	29.047	584
29.071	449	29.097	585
29.122	449	29.148	582
29.173	448	29.198	573
29.224	448	29.249	559
29.274	448	29.300	542
29.325	448	29.351	522
29.375	447	29.401	499
29.427	449	29.452	476
29.477	448	29.502	453
29.528	448	29.554	430
29.578	448	29.604	413
29.629	448	29.655	398
29.680	448	29.705	385
29.731	447	29.756	378
29.781	448	29.807	377
29.832	447	29.858	382
29.882	449	29.908	391
29.934	448	29.959	404
29.984	448	30.009	422
30.035	447	30.060	442
30.085	448	30.111	464
30.136	448	30.162	487
30.186	448	30.212	510
30.238	448	30.263	531
30.288	448	30.313	547
30.339	449	30.365	564
30.389	447	30.415	576
30.440	447	30.466	582
30.491	449	30.516	583
30.542	448	30.567	578
30.592	448	30.618	569
30.643	448	30.669	556
30.693	448	30.719	539
30.745	447	30.770	517
30.795	448	30.820	496
30.846	449	30.871	473
30.896	448	30.922	452
30.947	449	30.973	432
30.997	449	31.023	413
31.049	448	31.074	397
31.099	449	31.124	386
31.150	448	31.176	380
31.200	449	31.226	381
31.251	448	31.277	385
