#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
167.481	27.50	167.732	30.87
167.982	27.50	168.233	30.87
168.483	27.50	168.734	30.87
168.984	27.50	169.235	30.87
169.484	27.50	169.735	30.87
169.985	27.40	170.236	30.87
170.486	27.40	170.737	30.87
170.987	27.40	171.236	30.87
171.487	27.30	171.737	30.87
171.988	27.40	172.238	30.98
172.489	27.30	172.739	30.65
172.990	27.30	173.239	30.98
173.490	27.30	173.740	30.87
173.991	27.30	174.241	30.87
174.492	27.30	174.742	30.87
174.992	27.40	175.242	30.87
175.493	27.30	175.743	30.87
175.994	27.30	176.244	30.87
176.495	27.19	176.745	30.87
176.995	27.19	177.245	30.76
177.495	27.19	177.746	30.87
177.996	27.19	178.247	30.87
178.497	27.19	178.747	30.87
178.997	27.19	179.248	30.87
179.498	27.09	179.749	30.87
179.999	27.19	180.250	30.87
180.500	27.09	180.750	30.87
181.000	27.09	181.251	30.87
181.501	27.09	181.752	30.87
182.002	27.09	182.253	30.87
182.502	27.09	182.753	30.87
183.003	27.09	183.254	30.87
183.504	26.99	183.754	30.87
184.005	27.09	184.255	30.76
184.505	26.99	184.755	30.76
185.006	27.09	185.256	30.87
185.507	27.09	185.757	30.87
186.008	27.30	186.257	30.76
186.508	27.19	186.758	30.55
187.009	27.19	187.259	30.33
187.510	27.19	187.760	30.33
188.011	27.19	188.260	30.22
188.511	27.30	188.761	30.11
189.012	27.30	189.262	30.00
189.513	27.30	189.763	30.00
190.014	27.30	190.263	29.90
190.513	27.30	190.764	29.90
191.014	27.30	191.265	29.90
191.515	27.40	191.766	29.90
192.015	27.40	192.266	29.90
192.516	27.40	192.767	29.79
193.017	27.40	193.268	29.79
193.518	27.40	193.769	29.79
194.018	27.40	194.269	29.79
194.519	27.50	194.770	29.79
195.020	27.50	195.271	29.57
195.521	27.50	195.771	29.68
196.021	27.40	196.272	29.68
196.522	27.50	196.772	29.68
197.023	27.40	197.273	29.79
197.524	27.40	197.773	29.68
198.024	27.50	198.274	29.79
198.525	27.50	198.775	29.68
199.026	27.50	199.276	29.68
199.526	27.50	199.776	29.68
200.027	27.50	200.277	29.79
200.528	27.50	200.778	29.68
201.029	27.50	201.279	29.68
201.529	27.50	201.779	29.68
202.030	27.50	202.280	29.68
202.531	27.50	202.781	29.57
203.031	27.50	203.281	29.57
203.531	27.60	203.782	29.57
204.032	27.50	204.283	29.57
204.533	27.60	204.784	29.57
205.034	27.50	205.284	29.57
205.534	27.60	205.785	29.47
206.035	27.60	206.286	29.57
206.536	27.60	206.787	29.57
207.036	27.60	207.287	29.57
207.537	27.60	207.788	29.57
208.038	27.60	208.289	29.47
208.539	27.60	208.789	29.57
209.039	27.60	209.289	29.57
209.540	27.71	209.790	29.57
210.041	27.71	210.291	29.57
210.542	27.71	210.792	29.57
211.042	27.60	211.292	29.47
211.543	27.60	211.793	29.57
212.044	27.60	212.294	29.47
212.545	27.60	212.794	29.47
213.045	27.71	213.295	29.47
213.546	27.71	213.796	29.47
214.047	27.60	214.297	29.47
214.548	27.60	214.797	29.47
