#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
225.062	29.16	225.312	28.08
225.562	29.16	225.812	28.08
226.063	29.06	226.313	28.08
226.564	29.06	226.814	28.08
227.065	29.06	227.315	28.08
227.565	29.06	227.815	28.08
228.065	28.95	228.316	27.97
228.566	29.06	228.817	28.08
229.067	29.06	229.317	28.08
229.567	29.06	229.818	28.08
230.068	28.95	230.319	28.08
230.569	28.95	230.820	27.97
231.070	28.95	231.320	27.97
231.570	28.95	231.821	27.97
232.071	28.95	232.322	27.97
232.572	28.95	232.823	28.08
233.072	28.95	233.322	28.08
233.573	28.95	233.823	27.97
234.074	28.95	234.324	27.97
234.575	28.85	234.825	27.97
235.075	28.95	235.325	27.97
235.576	28.85	235.826	27.97
236.077	28.85	236.327	27.97
236.578	28.85	236.828	27.97
237.078	28.75	237.328	27.86
237.579	28.54	237.829	27.86
238.080	28.43	238.330	27.76
238.581	28.33	238.830	27.76
239.081	28.33	239.331	27.76
239.581	28.23	239.832	27.76
240.082	28.23	240.333	27.65
240.583	28.12	240.833	27.65
241.083	28.12	241.334	27.65
241.584	28.12	241.835	27.65
242.085	28.02	242.336	27.65
242.585	28.02	242.836	27.65
243.086	27.92	243.337	27.65
243.587	27.92	243.838	27.54
244.088	27.92	244.339	27.54
244.588	27.92	244.839	27.54
245.089	27.92	245.340	27.65
245.590	27.92	245.840	27.54
246.091	27.92	246.340	27.54
246.591	27.81	246.841	27.54
247.092	27.81	247.342	27.54
247.593	27.81	247.843	27.54
248.094	27.81	248.343	27.54
248.594	27.81	248.844	27.54
249.095	27.71	249.345	27.54
249.596	27.81	249.846	27.54
250.096	27.71	250.346	27.54
250.597	27.71	250.847	27.54
251.098	27.71	251.348	27.54
251.599	27.71	251.849	27.54
252.098	27.71	252.349	27.54
252.599	27.71	252.850	27.54
253.100	27.71	253.351	27.54
253.601	27.60	253.852	27.54
254.101	27.71	254.352	27.54
254.602	27.71	254.853	27.54
255.103	27.71	255.354	27.54
255.604	27.60	255.854	27.44
256.104	27.60	256.355	27.44
256.605	27.71	256.856	27.54
257.106	27.60	257.357	27.33
257.607	27.50	257.856	27.33
258.107	27.30	258.357	27.12
258.608	27.19	258.858	27.12
259.109	27.19	259.359	27.23
259.609	27.09	259.859	27.12
260.110	27.09	260.360	27.12
